model_name,threshold,single_evaluation_metric,train_distribution,test_distribution,train_win_rate,test_win_rate
V1,"[0, 0.45, 1]",3.025091685174937,"[37.34939759036144, 62.65060240963856]","[40.75949367088608, 59.24050632911393]","[70.28862478777589, 69.83805668016194]","[74.53416149068323, 68.80341880341881]"
V1,"[0, 0.5, 1]",2.715454005367743,"[39.12492073557387, 60.87507926442613]","[41.77215189873418, 58.22784810126582]","[70.17828200972447, 69.89583333333333]","[74.54545454545455, 68.69565217391305]"
V1,"[0, 0.55, 1]",2.9529549629904643,"[41.217501585288524, 58.78249841471148]","[44.303797468354425, 55.69620253164557]","[70.61538461538461, 69.57928802588997]","[74.85714285714286, 68.18181818181817]"
V1,"[0, 0.6, 1]",3.749281224997299,"[43.119847812301835, 56.880152187698165]","[47.34177215189874, 52.65822784810127]","[70.88235294117648, 69.3422519509476]","[75.40106951871658, 67.3076923076923]"
V1,"[0, 0.65, 1]",3.7754688287993172,"[45.14901712111604, 54.85098287888396]","[49.11392405063291, 50.8860759493671]","[71.06741573033707, 69.13294797687861]","[75.77319587628865, 66.66666666666666]"
V1,"[0, 0.7, 1]",3.5717927485962306,"[47.05136334812936, 52.94863665187064]","[50.37974683544304, 49.62025316455696]","[71.02425876010781, 69.10179640718563]","[75.87939698492463, 66.3265306122449]"
V1,"[0, 0.75, 1]",2.5159816869395115,"[49.33417882054534, 50.66582117945466]","[52.151898734177216, 47.848101265822784]","[71.0796915167095, 68.96120150187734]","[74.27184466019418, 67.72486772486772]"
V1,"[0, 0.8, 1]",2.721067745935869,"[51.363348129359544, 48.636651870640456]","[54.936708860759495, 45.063291139240505]","[70.98765432098766, 68.97001303780965]","[73.73271889400922, 67.97752808988764]"
V1,"[0, 0.85, 1]",3.1817699573885285,"[54.914394419784394, 45.0856055802156]","[59.24050632911393, 40.75949367088608]","[70.78521939953811, 69.05766526019691]","[73.50427350427351, 67.70186335403726]"
V1,"[0, 0.9, 1]",2.814942385853449,"[60.68484464172479, 39.315155358275206]","[65.31645569620254, 34.68354430379747]","[70.74190177638454, 68.87096774193549]","[72.48062015503875, 68.61313868613139]"
V2,"[0, 0.45, 1]",1.9554178213396796,"[53.963221306277745, 46.036778693722255]","[51.64556962025316, 48.35443037974684]","[67.21504112808461, 73.27823691460054]","[66.66666666666666, 75.91623036649214]"
V2,"[0, 0.5, 1]",2.313638704035734,"[54.914394419784394, 45.0856055802156]","[52.151898734177216, 47.848101265822784]","[67.32101616628175, 73.27707454289732]","[66.50485436893204, 76.19047619047619]"
V2,"[0, 0.55, 1]",2.697198941197115,"[56.62650602409639, 43.373493975903614]","[52.911392405063296, 47.08860759493671]","[67.63717805151175, 73.09941520467837]","[66.98564593301435, 75.80645161290323]"
V2,"[0, 0.6, 1]",2.319611082566748,"[57.89473684210527, 42.10526315789473]","[54.43037974683544, 45.56962025316456]","[67.57940854326397, 73.3433734939759]","[67.44186046511628, 75.55555555555556]"
V2,"[0, 0.65, 1]",2.404334411733453,"[58.845909955611916, 41.154090044388084]","[55.69620253164557, 44.303797468354425]","[67.78017241379311, 73.18952234206472]","[67.27272727272727, 76.0]"
V2,"[0, 0.7, 1]",3.043835237202307,"[60.5580215599239, 39.44197844007609]","[56.45569620253165, 43.54430379746835]","[68.06282722513089, 72.9903536977492]","[67.2645739910314, 76.16279069767442]"
V2,"[0, 0.75, 1]",3.5473406142428967,"[62.84083703233989, 37.159162967660116]","[58.22784810126582, 41.77215189873418]","[68.51664984863774, 72.52559726962457]","[67.3913043478261, 76.36363636363637]"
V2,"[0, 0.8, 1]",3.5675396202996907,"[65.50412175015853, 34.495878249841475]","[61.26582278481013, 38.734177215189874]","[68.6350435624395, 72.61029411764706]","[67.35537190082644, 77.12418300653596]"
V2,"[0, 0.85, 1]",1.3506090840131222,"[69.94292961318959, 30.0570703868104]","[68.60759493670886, 31.39240506329114]","[68.44968268359021, 73.62869198312237]","[69.00369003690037, 75.80645161290323]"
V2,"[0, 0.9, 1]",2.3892288891567466,"[74.38173747622068, 25.61826252377933]","[72.40506329113924, 27.59493670886076]","[68.37169650468883, 74.75247524752476]","[67.83216783216784, 79.81651376146789]"
