model_name,threshold,single_evaluation_metric,train_distribution,test_distribution,train_win_rate,test_win_rate
V1,"[0, 0.4, 0.45, 1]",7.118183802752231,"[35.38363982244769, 1.9657577679137603, 62.65060240963856]","[38.48101265822785, 2.278481012658228, 59.24050632911393]","[70.43010752688173, 67.74193548387096, 69.83805668016194]","[73.02631578947368, 100.0, 68.80341880341881]"
V1,"[0, 0.45, 0.5, 1]",3.234794527705673,"[37.34939759036144, 1.7755231452124285, 60.87507926442613]","[40.75949367088608, 1.0126582278481013, 58.22784810126582]","[70.28862478777589, 67.85714285714286, 69.89583333333333]","[74.53416149068323, 75.0, 68.69565217391305]"
V1,"[0, 0.5, 0.55, 1]",2.191559226342486,"[39.12492073557387, 2.092580849714648, 58.78249841471148]","[41.77215189873418, 2.5316455696202533, 55.69620253164557]","[70.17828200972447, 78.78787878787878, 69.57928802588997]","[74.54545454545455, 80.0, 68.18181818181817]"
V1,"[0, 0.55, 0.6, 1]",3.564472205145666,"[41.217501585288524, 1.9023462270133165, 56.880152187698165]","[44.303797468354425, 3.0379746835443036, 52.65822784810127]","[70.61538461538461, 76.66666666666667, 69.3422519509476]","[74.85714285714286, 83.33333333333334, 67.3076923076923]"
V1,"[0, 0.6, 0.65, 1]",4.357188713538593,"[43.119847812301835, 2.029169308814204, 54.85098287888396]","[47.34177215189874, 1.7721518987341773, 50.8860759493671]","[70.88235294117648, 75.0, 69.13294797687861]","[75.40106951871658, 85.71428571428571, 66.66666666666666]"
V1,"[0, 0.65, 0.7, 1]",4.235143299987677,"[45.14901712111604, 1.9023462270133165, 52.94863665187064]","[49.11392405063291, 1.2658227848101267, 49.62025316455696]","[71.06741573033707, 70.0, 69.10179640718563]","[75.77319587628865, 80.0, 66.3265306122449]"
V1,"[0, 0.7, 0.75, 1]",9.399838771207907,"[47.05136334812936, 2.28281547241598, 50.66582117945466]","[50.37974683544304, 1.7721518987341773, 47.848101265822784]","[71.02425876010781, 72.22222222222221, 68.96120150187734]","[75.87939698492463, 28.57142857142857, 67.72486772486772]"
V1,"[0, 0.75, 0.8, 1]",2.7408326529738254,"[49.33417882054534, 2.029169308814204, 48.636651870640456]","[52.151898734177216, 2.7848101265822782, 45.063291139240505]","[71.0796915167095, 68.75, 68.97001303780965]","[74.27184466019418, 63.63636363636363, 67.97752808988764]"
V1,"[0, 0.8, 0.85, 1]",2.580697122469176,"[51.363348129359544, 3.551046290424857, 45.0856055802156]","[54.936708860759495, 4.30379746835443, 40.75949367088608]","[70.98765432098766, 67.85714285714286, 69.05766526019691]","[73.73271889400922, 70.58823529411765, 67.70186335403726]"
V1,"[0, 0.85, 0.9, 1]",3.344962599860887,"[54.914394419784394, 5.7704502219403935, 39.315155358275206]","[59.24050632911393, 6.075949367088607, 34.68354430379747]","[70.78521939953811, 70.32967032967034, 68.87096774193549]","[73.50427350427351, 62.5, 68.61313868613139]"
V1,"[0, 0.45, 0.5, 1]",3.234794527705673,"[37.34939759036144, 1.7755231452124285, 60.87507926442613]","[40.75949367088608, 1.0126582278481013, 58.22784810126582]","[70.28862478777589, 67.85714285714286, 69.89583333333333]","[74.53416149068323, 75.0, 68.69565217391305]"
V1,"[0, 0.5, 0.55, 1]",2.191559226342486,"[39.12492073557387, 2.092580849714648, 58.78249841471148]","[41.77215189873418, 2.5316455696202533, 55.69620253164557]","[70.17828200972447, 78.78787878787878, 69.57928802588997]","[74.54545454545455, 80.0, 68.18181818181817]"
V1,"[0, 0.55, 0.6, 1]",3.564472205145666,"[41.217501585288524, 1.9023462270133165, 56.880152187698165]","[44.303797468354425, 3.0379746835443036, 52.65822784810127]","[70.61538461538461, 76.66666666666667, 69.3422519509476]","[74.85714285714286, 83.33333333333334, 67.3076923076923]"
V1,"[0, 0.6, 0.65, 1]",4.357188713538593,"[43.119847812301835, 2.029169308814204, 54.85098287888396]","[47.34177215189874, 1.7721518987341773, 50.8860759493671]","[70.88235294117648, 75.0, 69.13294797687861]","[75.40106951871658, 85.71428571428571, 66.66666666666666]"
V1,"[0, 0.65, 0.7, 1]",4.235143299987677,"[45.14901712111604, 1.9023462270133165, 52.94863665187064]","[49.11392405063291, 1.2658227848101267, 49.62025316455696]","[71.06741573033707, 70.0, 69.10179640718563]","[75.77319587628865, 80.0, 66.3265306122449]"
V1,"[0, 0.7, 0.75, 1]",9.399838771207907,"[47.05136334812936, 2.28281547241598, 50.66582117945466]","[50.37974683544304, 1.7721518987341773, 47.848101265822784]","[71.02425876010781, 72.22222222222221, 68.96120150187734]","[75.87939698492463, 28.57142857142857, 67.72486772486772]"
V1,"[0, 0.75, 0.8, 1]",2.7408326529738254,"[49.33417882054534, 2.029169308814204, 48.636651870640456]","[52.151898734177216, 2.7848101265822782, 45.063291139240505]","[71.0796915167095, 68.75, 68.97001303780965]","[74.27184466019418, 63.63636363636363, 67.97752808988764]"
V1,"[0, 0.8, 0.85, 1]",2.580697122469176,"[51.363348129359544, 3.551046290424857, 45.0856055802156]","[54.936708860759495, 4.30379746835443, 40.75949367088608]","[70.98765432098766, 67.85714285714286, 69.05766526019691]","[73.73271889400922, 70.58823529411765, 67.70186335403726]"
V1,"[0, 0.85, 0.9, 1]",3.344962599860887,"[54.914394419784394, 5.7704502219403935, 39.315155358275206]","[59.24050632911393, 6.075949367088607, 34.68354430379747]","[70.78521939953811, 70.32967032967034, 68.87096774193549]","[73.50427350427351, 62.5, 68.61313868613139]"
V1,"[0, 0.4, 0.5, 1]",5.750369538628892,"[35.38363982244769, 3.741280913126189, 60.87507926442613]","[38.48101265822785, 3.2911392405063293, 58.22784810126582]","[70.43010752688173, 67.79661016949152, 69.89583333333333]","[73.02631578947368, 92.3076923076923, 68.69565217391305]"
V1,"[0, 0.5, 0.6, 1]",3.1476641497638673,"[39.12492073557387, 3.9949270767279645, 56.880152187698165]","[41.77215189873418, 5.5696202531645564, 52.65822784810127]","[70.17828200972447, 77.77777777777779, 69.3422519509476]","[74.54545454545455, 81.81818181818183, 67.3076923076923]"
